name,lat,lon
Františka Veselého,50.12181,14.621569
K Cikánce,49.997627,14.341734
Vidoule,50.055237,14.36475
K Juliáně,50.117786,14.301151
Velká Chuchle,50.01215,14.380734
Dobronická,50.011017,14.471958
Pod Krocínkou,50.114006,14.511842
Bílá Hora,50.07568,14.323181
Václavské náměstí,50.081818,14.425506
Letňanská,50.122997,14.507336
Nové Komořany,49.992447,14.41968
Čakovický zámek,50.151684,14.521517
Nové Strašnice,50.07792,14.510193
Karlštejnská,50.052643,14.359049
Apolinářská,50.07151,14.426756
Rájecká,50.02524,14.601827
Povltavská,50.116077,14.433817
U Kundratky,50.11782,14.487756
Tempo,50.020035,14.451962
Na Formance,50.016663,14.530283
Vojenská nemocnice,50.091713,14.360064
Vlastibořská,50.1203,14.598816
Strossmayerovo náměstí,50.09891,14.433265
Škola Dolní Počernice,50.088577,14.581316
Staroměstské náměstí,50.087936,14.420891
Sídliště Zbraslav,49.96811,14.384634
Vinohradská tržnice,50.077057,14.442047
Svatoňovická,50.083946,14.574297
Přístav Radotín,49.994415,14.39349
Za Mototechnou,50.05896,14.328106
Na Sklonku,50.06687,14.364227
Praha-Smíchov,50.06131,14.40813
Strnady,49.94565,14.394558
Sídliště Spořilov,50.04779,14.490209
Nový Hloubětín,50.109737,14.529731
Fashion Arena Štěrboholy,50.07469,14.540369
Netřebická,50.129303,14.572818
Na Lukách,50.097538,14.51162
Radlická,50.058594,14.388903
Praha-Veleslavín,50.094994,14.346188
Miškovice,50.155987,14.541626
Vinice Dolní Počernice,50.085842,14.601168
Právnická fakulta,50.091476,14.417732
Praha-Hlubočepy,50.0407,14.393867
Malostranská,50.091072,14.41006
Lahovický most,49.995434,14.398083
Nemocnice Na Františku,50.093002,14.422155
Nymburská,50.126747,14.558483
Jordánská,50.11104,14.562793
U Školy,50.043842,14.421676
U Matěje,50.112236,14.380026
Stodůlky,50.046642,14.307148
Stará Holyně,50.029705,14.356933
Klárův ústav,50.028,14.456942
Slatiňanská,50.10814,14.591312
Laurová,50.061222,14.398432
Tusarova,50.10073,14.450172
Dolní Počernice,50.08524,14.576954
U Zvoničky,50.010407,14.46028
Poliklinika Lípa,50.051235,14.346623
U Blaženky,50.06793,14.384913
Nad Běchovicemi,50.09237,14.623601
Horky,50.06156,14.446262
Výhledy,50.13719,14.368688
Kbelský pivovar,50.130486,14.547281
Nad Jetelkou,50.115276,14.496156
Kamýcká,50.130364,14.382275
Skloněná,50.100334,14.487579
Do Lipan,50.008015,14.626381
Zmrzlík,50.011776,14.312866
Valtická,50.066128,14.266241
Sídliště Zličín,50.06025,14.293251
Vozovna Kobylisy,50.13286,14.453828
Sídliště Kobylisy,50.127045,14.452108
Depo Kačerov,50.045654,14.470515
Terminál 3,50.099056,14.28872
Novochuchelská,50.009087,14.384808
U Rumpálu,50.133232,14.548558
Starý Spořilov,50.04254,14.473511
Chmelnice,50.09252,14.4864
Kobylisy,50.12433,14.454498
Urbanova,50.06247,14.383908
Parkoviště Trojský most,50.115646,14.436711
Prosek,50.119286,14.498221
Na Pazderce,50.125122,14.417893
Žvahov,50.043987,14.401451
Vítězné náměstí,50.09975,14.395556
Želivecká,50.05989,14.493988
Sídliště Malešice,50.082947,14.508013
K Chatám,49.94793,14.375294
K Lipanům,50.015915,14.606476
Amforová,50.04178,14.327298
Píškova,50.04116,14.334352
Kbelský hřbitov,50.144074,14.54666
Ivančická,50.14219,14.511956
Picassova,50.034786,14.594255
Královka,50.084877,14.380366
Kodymova,50.051483,14.337343
Na Vartě,50.045494,14.557497
Knovízská,50.04137,14.500134
Nádraží Horní Počernice,50.11536,14.612968
Pod Karlovem,50.069168,14.432743
Kukulova,50.078495,14.344544
Luka,50.045437,14.321302
Řepínská,50.133514,14.430046
Vlašimská,50.074394,14.465042
Ženské domovy,50.06857,14.400691
Lazarská,50.079422,14.420067
Sibeliova,50.092674,14.384192
U Mlejna,50.02706,14.602255
Pod Říhákem,49.989033,14.362034
Praha-Zličín,50.064144,14.297819
Nový Prosek,50.12111,14.504042
Konvářka,50.05462,14.401834
Zbraslav,49.959045,14.382795
Praha-Horní Počernice,50.116688,14.612695
Poliklinika Petrovice,50.03924,14.560976
Pod Mezí,50.026962,14.355278
U Jahodnice,50.08421,14.550695
Svatoplukova,50.065033,14.428689
Ve Žlíbku,50.11065,14.624501
Pražská čtvrť,50.027943,14.366859
Xaverov,50.101257,14.625361
Větrov,50.07345,14.424397
Odlehlá,50.09842,14.481834
Nevanova,50.066185,14.311344
Starý Hloubětín,50.10443,14.530201
Praha-Horní Měcholupy,50.048023,14.56557
Ořechovka,50.092876,14.379213
Satalice,50.125656,14.571462
Nádraží Uhříněves,50.033733,14.592267
Sídliště Libuš,50.006027,14.454081
Olšanské náměstí,50.082596,14.45828
Letecké muzeum,50.12599,14.535893
Sukovská,50.016098,14.53554
Slovinská,50.070778,14.459145
Hostivařská,50.052765,14.529101
Kotorská,50.054318,14.436834
Sídliště Prosek,50.122498,14.493733
Karlínské náměstí,50.092766,14.445656
Sídliště Novodvorská,50.02511,14.434394
Dolní Měcholupy,50.05687,14.561884
Květnová,50.142708,14.477959
Chodovská,50.05655,14.470234
Viničky,49.979256,14.347851
